,Links,Title,Details,Price,Rating
73,https://www.airbnb.co.in//rooms/696641453880572404?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Kahuku,Oceanfront Blue Hawaii Cottage  with endless fun!,"₹54,545 per night",New
74,https://www.airbnb.co.in//rooms/48430090?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Honolulu,The Penthouse modern luxury  in Waikiki,"₹63,113 per night, originally ₹71,060",New
75,https://www.airbnb.co.in//rooms/655719944452621582?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,Waikiki Beachwalk 2 Bedroom,"₹36,325 per night",New
76,https://www.airbnb.co.in//rooms/608720913362414570?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Kaneohe,Kualoa Oceanfront Paradise,"₹72,865 per night",New
77,https://www.airbnb.co.in//rooms/40909775?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Apartment in Honolulu,Tropical 2 Bdrm  Condo @ Waikiki Beach Walk Resort,"₹38,968 per night, originally ₹52,637",4.8
78,https://www.airbnb.co.in//rooms/22370885?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Home in Honolulu,AMAZING SPACE 2 MILES FROM WAIKIKI.,"₹81,251 per night",4.6
79,https://www.airbnb.co.in//rooms/645623300012364749?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Apartment in Honolulu,Panoramic ocean view condo  in Waikiki,"₹36,344 per night",New
80,https://www.airbnb.co.in//rooms/53830282?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=bb2a50d6-e95f-4985-83a2-744ec2bbb047,Flat in Honolulu,"2 min walk to the beach / Parking , Kitchen , Pool","₹41,011 per night",New
81,https://www.airbnb.co.in//rooms/53701747?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Hotel room in Honolulu,"SLEEPS 2, IN THE HEART OF WAIKIKI, WALK TO BEACH","₹47,137 per night",New
82,https://www.airbnb.co.in//rooms/3372423?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Private room in Honolulu,The Golden Nest,"₹9,269 per night, originally ₹10,700",4.8
83,https://www.airbnb.co.in//rooms/560797551759260158?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Flat in Honolulu,Waikiki Beach Walk 1 Bedroom,"₹23,568 per night",New
84,https://www.airbnb.co.in//rooms/7116389?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Private room in Honolulu,Three Bed Room Steps from Waikiki Beach!,"₹24,225 per night",4.6
85,https://www.airbnb.co.in//rooms/637495410603977673?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Hotel room in Kapolei,Marriott Ko Olina Beach Club Studio Unit #4!,"₹38,906 per night",5
86,https://www.airbnb.co.in//rooms/610243941975272845?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Resort in Kapolei,Marriott Ko Olina Beach Club - Studio Unit Oahu,"₹38,906 per night",5
87,https://www.airbnb.co.in//rooms/655746106743116106?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Flat in Honolulu,Waikiki Beachwalk 2 Bedroom,"₹36,325 per night",New
88,https://www.airbnb.co.in//rooms/48233283?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Hotel room in Honolulu,Monthly Special - Kitchenette Hotel La Croix,"₹23,762 per night",4.6
89,https://www.airbnb.co.in//rooms/47005009?check_in=2022-09-15&check_out=2022-09-24&previous_page_section_name=1000&federated_search_id=8e5899a3-638a-42ae-a918-33862db7b378,Home in Honolulu,Luxe -Beach House minutes from Waikiki.,"₹81,064 per night",New
