,Link,Name,Subtitle,Original_price,Sale_price
148,https://www.nike.com/in/t/fc-tribuna-lined-football-shorts-R65dgN/DH9679-410,Nike F.C. Tribuna,Men's Lined Football Shorts,₹ 2 895,₹ 2 747
149,https://www.nike.com/in/t/sky-jordan-1-and-shoe-td3n17/BQ7196-041,Sky Jordan 1,Baby and Toddler Shoe,₹ 3 495,₹ 3 317
150,https://www.nike.com/in/t/yoga-high-waisted-7-8-leggings-bwC0g8/CU5294-010,Nike Yoga,Women's High-Waisted 7/8 Leggings,₹ 3 095,₹ 2 937
151,https://www.nike.com/in/t/af-1-t-shirt-ZQmXs1/DR5756-010,Nike AF-1,Men's T-Shirt,₹ 2 495,₹ 2 367
152,https://www.nike.com/in/t/jordan-essentials-tank-6Rqft7/DO5048-821,Jordan Essentials,Women's Tank,₹ 2 195,₹ 2 087
153,https://www.nike.com/in/t/air-max-2021-shoes-383M4j/DA1923-600,Nike Air Max 2021,Women's Shoes,₹ 14 495,₹ 13 767
154,https://www.nike.com/in/t/swoosh-icon-clash-support-padded-strappy-printed-sports-bra-fW4Dd0/DM0666-610,Nike Swoosh Icon Clash,Women's Medium-Support Padded Strappy Printed Sports Bra,₹ 2 195,₹ 2 087
155,https://www.nike.com/in/t/sportswear-tech-pack-unlined-gilet-TM2n9s/DM5535-737,Nike Sportswear Tech Pack,Men's Unlined Gilet,₹ 8 295,₹ 7 877
156,https://www.nike.com/in/t/polo-polo-fWcPxf/DB3264-100,The Nike Polo,Men's Polo,₹ 2 995,₹ 2 847
157,https://www.nike.com/in/t/air-max-90-ltr-se-older-shoes-22n0dz/DM0956-100,Nike Air Max 90 LTR SE,Older Kids' Shoes,₹ 7 995,₹ 7 597
158,https://www.nike.com/in/t/nikecourt-victory-tennis-polo-6vWL1q/CV2474-530,NikeCourt Victory,Women's Tennis Polo Shirt,₹ 2 195,₹ 2 087
159,https://www.nike.com/in/t/run-division-mid-rise-running-leggings-dJLBtG/DM7750-010,Nike Run Division,Women's Mid-Rise Running Leggings,₹ 5 995,₹ 5 697
